t_points,losses,exp_gammas,d_gammas,diffusion_loss_meanpreds
0.0,4.4529366e-05,148.41316,150.85335,4.4529366e-05
0.01010101,0.0001681803,71.26889,141.8983,0.0001681803
0.02020202,0.00051831466,35.77016,133.34035,0.00051831466
0.030303031,0.0012439779,18.724901,125.16779,0.0012439779
0.04040404,0.0023766984,10.202881,117.369156,0.0023766984
0.05050505,0.004212335,5.7755747,109.93314,0.004212335
0.060606062,0.00778353,3.3902788,102.848595,0.00778353
0.07070707,0.015807696,2.060035,96.10453,0.015807696
0.08080808,0.036739092,1.2935183,89.69015,0.036739092
0.09090909,0.07639975,0.8379501,83.594795,0.07639975
0.1010101,0.10668758,0.55914754,77.80803,0.10668758
0.11111111,0.11829812,0.38374034,72.31953,0.11829812
0.121212125,0.12202192,0.2704685,67.11919,0.12202192
0.13131313,0.12336044,0.1955025,62.19704,0.12336044
0.14141414,0.123307794,0.14472902,57.5433,0.12330779
0.15151516,0.12278012,0.109586984,53.148342,0.12278013
0.16161616,0.12261604,0.08476511,49.002743,0.12261604
0.17171717,0.12209121,0.06689667,45.09721,0.12209123
0.18181819,0.12148157,0.053804144,41.422634,0.12148157
0.1919192,0.12105619,0.044051934,37.97008,0.12105619
0.2020202,0.12052902,0.03667627,34.730797,0.12052902
0.21212122,0.11990772,0.031018965,31.696167,0.11990772
0.22222222,0.11913799,0.026623243,28.857775,0.11913799
0.23232323,0.118744954,0.023167158,26.207373,0.118744954
0.24242425,0.118375696,0.020420475,23.73685,0.118375696
0.25252524,0.117811814,0.018216364,21.438328,0.117811814
0.26262626,0.11777895,0.0164322,19.304012,0.11777895
0.27272728,0.11719922,0.0149768805,17.326368,0.11719922
0.28282827,0.11638219,0.0137818195,15.497987,0.11638219
0.2929293,0.1161004,0.012794823,13.811606,0.1161004
0.3030303,0.11584755,0.011975765,12.260182,0.11584755
0.3131313,0.11559219,0.011293445,10.836823,0.11559219
0.32323232,0.11508032,0.010723348,9.534779,0.11508032
0.33333334,0.11469337,0.010246074,8.347519,0.11469337
0.34343433,0.114598595,0.00984605,7.2686424,0.114598595
0.35353535,0.11417876,0.009510715,6.2919493,0.11417876
0.36363637,0.11381501,0.009229793,5.4113855,0.11381501
0.37373737,0.11367785,0.008994818,4.621055,0.113677844
0.3838384,0.113196164,0.008798813,3.9153044,0.113196164
0.3939394,0.11297727,0.008635853,3.2885675,0.11297727
0.4040404,0.11296846,0.008500938,2.7354684,0.112968475
0.41414142,0.112309396,0.008389808,2.2508116,0.112309396
0.42424244,0.11233798,0.008298842,1.8296102,0.11233798
