t_points,losses,exp_gammas,d_gammas,diffusion_loss_meanpreds
0.0,0.039474986,148.41316,0.64356375,5.5841792e-06
0.01010101,0.02072562,134.5568,0.39958125,5.7510947e-06
0.02020202,0.010239328,121.99843,0.21896508,6.314472e-06
0.030303031,0.0040511996,110.61455,0.09619097,6.9210705e-06
0.04040404,0.0009583268,100.2943,0.025396334,7.607813e-06
0.05050505,5.6388144e-05,90.93682,0.001960805,8.984402e-06
0.060606062,0.0005135577,82.45225,0.01833134,8.594491e-06
0.07070707,0.0017706248,74.76154,0.07177167,9.063429e-06
0.08080808,0.0033169829,67.78574,0.15706177,9.404898e-06
0.09090909,0.0049497755,61.459515,0.26929215,9.9671215e-06
0.1010101,0.006472284,55.72379,0.40420178,1.0555752e-05
0.11111111,0.007626538,50.523052,0.55717045,1.0965671e-05
0.121212125,0.008430233,45.80673,0.7247648,1.1347629e-05
0.13131313,0.00912472,41.526928,0.90384984,1.1998381e-05
0.14141414,0.009383039,37.64759,1.0898596,1.2481072e-05
0.15151516,0.009483892,34.128696,1.2811985,1.3043889e-05
0.16161616,0.009487164,30.937538,1.4723322,1.3854198e-05
0.17171717,0.00930097,28.044716,1.6623544,1.4652213e-05
0.18181819,0.0089878375,25.42184,1.8463252,1.5513973e-05
0.1919192,0.008546457,23.044792,2.0224323,1.6428714e-05
0.2020202,0.008012466,20.888714,2.1922956,1.7323871e-05
0.21212122,0.0075333756,18.931147,2.35251,1.8507553e-05
0.22222222,0.006979573,17.159771,2.4931366,1.9758465e-05
0.23232323,0.0065267575,15.553545,2.623043,2.12961e-05
0.24242425,0.006108474,14.096344,2.7367516,2.3368339e-05
0.25252524,0.005618277,12.77665,2.8303545,2.5269035e-05
0.26262626,0.005126436,11.580512,2.9026685,2.7463962e-05
0.27272728,0.00482559,10.494053,2.965976,3.095205e-05
0.28282827,0.0044974294,9.510913,3.0035686,3.476578e-05
0.2929293,0.004245735,8.61929,3.0213902,3.962721e-05
0.3030303,0.0038902287,7.8134403,3.0068207,4.4546927e-05
0.3131313,0.0036447714,7.080558,2.989171,5.1230076e-05
0.32323232,0.003429141,6.4178233,2.9446774,5.9459133e-05
0.33333334,0.0032050502,5.8154416,2.8884556,6.881628e-05
0.34343433,0.0030138546,5.2713757,2.798366,8.117392e-05
0.35353535,0.0029053853,4.7770743,2.7072015,9.826368e-05
0.36363637,0.002807676,4.3298626,2.5881,0.00012068832
0.37373737,0.0026027816,3.9245164,2.4518118,0.0001434523
0.3838384,0.0025974815,3.5568848,2.3084006,0.00018732551
0.3939394,0.0025834532,3.2243013,2.1438668,0.0002437302
0.4040404,0.0026831012,2.9227264,1.9740018,0.00033320993
0.41414142,0.0028316781,2.6493983,1.7943716,0.0004732422
0.42424244,0.002828879,2.401264,1.6149402,0.0006518955
0.43434343,0.0033809978,2.1769617,1.4245017,0.001043548
0.44444445,0.0034456146,1.9734318,1.2370256,0.0015209044
0.45454547,0.004117557,1.7890203,1.0514276,0.0026074578
0.46464646,0.004076643,1.6218432,0.87114906,0.0038225097
0.47474748,0.0042206463,1.4702448,0.7013809,0.0060027754
0.4848485,0.0040497393,1.3333349,0.5378161,0.009155201
0.4949495,0.003653775,1.2085668,0.39744288,0.014068122
0.5050505,0.0027523863,1.0959054,0.27399594,0.019639421
0.5151515,0.0017850533,0.99373776,0.17522675,0.026623568
0.5252525,0.0009007135,0.90106654,0.107082635,0.035380088
0.53535354,0.00034946477,0.8166879,0.07280255,0.043124188
0.54545456,0.0003386479,0.7406901,0.07645222,0.051288016
0.5555556,0.000855038,0.671474,0.12301731,0.05748392
0.56565654,0.0018872587,0.6088378,0.21951376,0.064641744
0.57575756,0.0032052766,0.55200315,0.3701233,0.06948401
0.5858586,0.004722227,0.5004924,0.5815849,0.07374772
0.5959596,0.0062736347,0.45383447,0.860521,0.07784725
0.6060606,0.007669711,0.41132715,1.207084,0.08043022
0.61616164,0.008911304,0.37278214,1.6322514,0.08277355
0.6262626,0.009948006,0.33806697,2.153595,0.08440956
0.6363636,0.01078407,0.30629048,2.7501416,0.08663491
0.64646465,0.011454775,0.2776793,3.461765,0.088495
0.65656567,0.011754637,0.2515439,4.2643285,0.08938126
0.6666667,0.011921275,0.22787376,5.184915,0.09051907
0.6767677,0.012150754,0.20648263,6.2366767,0.09335657
