t_points,losses,exp_gammas,d_gammas,diffusion_loss_meanpreds
0.0,0.052732535,148.41316,0.3242808,1.5572412e-05
0.01010101,0.04534884,134.9925,0.29311246,1.7356155e-05
0.02020202,0.040707972,122.78619,0.27037662,1.984252e-05
0.030303031,0.03686494,111.68411,0.254894,2.2515991e-05
0.04040404,0.034547944,101.58621,0.2455574,2.5911231e-05
0.05050505,0.032498598,92.40156,0.24133158,2.9713212e-05
0.060606062,0.03064104,84.04748,0.24130565,3.3740587e-05
0.07070707,0.029029608,76.44882,0.24444507,3.8289214e-05
0.08080808,0.027690401,69.53723,0.25004822,4.3373013e-05
0.09090909,0.02618772,63.250595,0.2573552,4.900568e-05
0.1010101,0.024926586,57.532387,0.26567814,5.5163287e-05
0.11111111,0.023439612,52.33121,0.27441412,6.188545e-05
0.121212125,0.022276497,47.60034,0.2830325,7.018663e-05
0.13131313,0.020581145,43.29725,0.2910746,7.778443e-05
0.14141414,0.01900989,39.38327,0.29815388,8.64532e-05
0.15151516,0.01745237,35.82322,0.30395573,9.6218806e-05
0.16161616,0.015864799,32.585102,0.30823767,0.000106427986
0.17171717,0.014433841,29.639814,0.31082946,0.00011873016
0.18181819,0.012870492,26.960869,0.3116326,0.00013045369
0.1919192,0.011376734,24.524195,0.31063417,0.00014319281
0.2020202,0.010026188,22.307865,0.30785087,0.0001573842
0.21212122,0.008856068,20.291956,0.30341032,0.00017337922
0.22222222,0.0077392734,18.458338,0.29751447,0.00019052293
0.23232323,0.006635285,16.790518,0.29042166,0.0002071726
0.24242425,0.0056881467,15.273491,0.28246367,0.00022651356
0.25252524,0.0050166366,13.8936205,0.27406213,0.00024971238
0.26262626,0.00429862,12.638478,0.26568967,0.0002743779
0.27272728,0.0038462959,11.496791,0.25789714,0.00030271098
0.28282827,0.0033460462,10.458282,0.2512643,0.00032980155
0.2929293,0.0030032902,9.513615,0.2465991,0.0003641115
0.3030303,0.0028250953,8.654293,0.24439709,0.00040509284
0.3131313,0.0026344897,7.8725977,0.24575114,0.00044297648
0.32323232,0.0025487165,7.1614966,0.25153044,0.00049009436
0.33333334,0.002523136,6.5146027,0.26269227,0.0005409495
0.34343433,0.0025702368,5.926107,0.28030837,0.0005956726
0.35353535,0.002680222,5.3907228,0.3054898,0.00066285155
0.36363637,0.002803144,4.903645,0.3394352,0.0007258132
0.37373737,0.0030048722,4.460507,0.38341534,0.00080226775
0.3838384,0.0032438128,4.0573306,0.4387739,0.00089731376
0.3939394,0.0035220783,3.6905053,0.50692594,0.0010040387
0.4040404,0.0038721142,3.356745,0.58935845,0.0011292543
0.41414142,0.0042055207,3.0530598,0.68762916,0.0012768881
0.42424244,0.0046112807,2.7767339,0.8033838,0.0014419318
0.43434343,0.0051504592,2.525297,0.93834823,0.0016918125
0.44444445,0.0057170377,2.2965004,1.0941525,0.001900728
0.45454547,0.006246403,2.0883026,1.2728287,0.0022067213
0.46464646,0.006964836,1.8988446,1.4762331,0.002585489
0.47474748,0.0076859617,1.7264373,1.7062753,0.0030280768
0.4848485,0.009203896,1.5695435,1.9651321,0.003937791
0.4949495,0.011312239,1.4267668,2.2548943,0.0049738176
0.5050505,0.0138742905,1.2968354,2.5777717,0.006381595
0.5151515,0.016785232,1.1785929,2.9360437,0.0083321985
0.5252525,0.022563392,1.0709888,3.3320606,0.011745497
0.53535354,0.028626427,0.9730664,3.7682476,0.015927566
0.54545456,0.035592116,0.8839569,4.247105,0.02069837
0.5555556,0.04189459,0.8028679,4.771192,0.026022034
0.56565654,0.04866165,0.72908026,5.343148,0.032676686
0.57575756,0.0537669,0.66193855,5.965697,0.0385586
0.5858586,0.05974757,0.6008475,6.641616,0.04595644
0.5959596,0.06048239,0.5452648,7.3737626,0.050758723
0.6060606,0.062000196,0.49469703,8.165066,0.057390355
0.61616164,0.061511323,0.4486955,9.01852,0.062294472
0.6262626,0.060668457,0.40685207,9.9372,0.067870796
0.6363636,0.057706486,0.3687941,10.924265,0.0719267
0.64646465,0.05522761,0.33418357,11.982903,0.076220594
0.65656567,0.053129137,0.3027123,13.116435,0.08249948
0.6666667,0.05044672,0.27409995,14.328192,0.08763603
0.6767677,0.04744963,0.24809101,15.621633,0.09312514
0.68686867,0.04453968,0.22445308,17.000238,0.098338544
0.6969697,0.041846346,0.20297416,18.467602,0.10357899
0.7070707,0.04135701,0.18346164,20.027374,0.11653301
0.7171717,0.037465364,0.16573964,21.683262,0.12113485
0.72727275,0.03565091,0.14964828,23.439072,0.13148354
0.7373737,0.033451617,0.13504183,25.298653,0.14065708
0.74747473,0.029660724,0.121787354,27.265957,0.14316863
0.75757575,0.026828581,0.109763846,29.344994,0.14898449
0.7676768,0.02410889,0.09886109,31.539839,0.15393634
0.7777778,0.021940839,0.08897853,33.854652,0.16160892
0.7878788,0.0191605,0.080024585,36.293648,0.16340986
0.7979798,0.017833386,0.07191577,38.86111,0.17629139
0.8080808,0.015542679,0.064575896,41.561462,0.178912
0.8181818,0.013460134,0.057935588,44.39909,0.1803363
0.82828283,0.01176016,0.05193162,47.378544,0.1840285
0.83838385,0.010090666,0.046506245,50.504414,0.18467496
0.8484849,0.009163321,0.041606903,53.781296,0.19768657
0.85858583,0.0074254535,0.03718562,57.213963,0.18797563
0.86868685,0.006481082,0.03319864,60.807236,0.19390784
0.8787879,0.0056684553,0.029606074,64.56599,0.20108216
0.8888889,0.0047490275,0.026371572,68.49513,0.20011841
0.8989899,0.0039941887,0.023461962,72.59969,0.20057824
0.90909094,0.003316173,0.020847019,76.88479,0.19900659
0.9191919,0.002754231,0.01849917,81.355515,0.19820982
0.9292929,0.0022781543,0.01639327,86.01719,0.19731216
0.93939394,0.0019368258,0.014506427,90.8751,0.20256045
0.94949496,0.0015873289,0.012817774,95.934586,0.2012405
0.959596,0.0013221619,0.011308276,101.20113,0.2038325
0.969697,0.0010865551,0.0099606225,106.68025,0.20451957
0.97979796,0.000905955,0.00875905,112.37748,0.20895267
0.989899,0.00073478784,0.0076891747,118.29861,0.20864877
1.0,0.0006094631,0.0067379465,124.449295,0.21392913
