t_points,losses,exp_gammas,d_gammas,diffusion_loss_meanpreds
0.0,0.0026792376,148.41316,1.4856024,2.4303352e-05
0.01010101,0.0025471025,147.3033,1.4868935,2.3258628e-05
0.02020202,0.0025031525,146.20071,1.4883184,2.300763e-05
0.030303031,0.0024827877,145.10533,1.4898905,2.2968461e-05
0.04040404,0.0024454158,144.01697,1.4916253,2.2767183e-05
0.05050505,0.0024180529,142.9354,1.4935397,2.2653703e-05
0.060606062,0.0023852864,141.86053,1.495653,2.2484233e-05
0.07070707,0.0023664713,140.79214,1.4979855,2.2441156e-05
0.08080808,0.002344207,139.73015,1.5005605,2.236054e-05
0.09090909,0.002311954,138.67416,1.5034033,2.2178803e-05
0.1010101,0.0022864419,137.62411,1.5065417,2.2055374e-05
0.11111111,0.0022734976,136.57982,1.510007,2.2047483e-05
0.121212125,0.0022494611,135.54086,1.5138333,2.1926038e-05
0.13131313,0.0022344121,134.50711,1.5180582,2.1885657e-05
0.14141414,0.0022141736,133.47826,1.5227238,2.178763e-05
0.15151516,0.002190949,132.45398,1.5278765,2.1652546e-05
0.16161616,0.0021853936,131.43398,1.5335664,2.1684495e-05
0.17171717,0.002167733,130.41786,1.5398507,2.1588377e-05
0.18181819,0.0021572222,129.4053,1.5467913,2.1554655e-05
0.1919192,0.0021437667,128.39587,1.5544571,2.1482147e-05
0.2020202,0.0021336514,127.38917,1.562924,2.1433005e-05
0.21212122,0.0021206054,126.384605,1.5722761,2.134356e-05
0.22222222,0.002126562,125.38175,1.5826062,2.1433882e-05
0.23232323,0.0021217603,124.38006,1.5940164,2.1403399e-05
0.24242425,0.0021159984,123.37888,1.6066204,2.1349671e-05
0.25252524,0.002120166,122.377594,1.6205429,2.1381462e-05
0.26262626,0.002120906,121.37545,1.6359221,2.1362788e-05
0.27272728,0.0021271438,120.37166,1.6529111,2.1382231e-05
0.28282827,0.0021308165,119.36539,1.6716778,2.1357233e-05
0.2929293,0.0021348463,118.35576,1.6924089,2.1315813e-05
0.3030303,0.0021543012,117.34178,1.7153097,2.1406278e-05
0.3131313,0.0021768138,116.3223,1.7406076,2.1502421e-05
0.32323232,0.0021948905,115.29618,1.7685534,2.1528302e-05
0.33333334,0.002219917,114.26221,1.7994246,2.1593869e-05
0.34343433,0.0022523014,113.21889,1.833526,2.1699541e-05
0.35353535,0.0022900978,112.16481,1.8711964,2.1822676e-05
0.36363637,0.0023140728,111.0983,1.9128088,2.17785e-05
0.37373737,0.0023575095,110.01763,1.9587741,2.1879472e-05
0.3838384,0.0024250462,108.9209,2.0095475,2.2158509e-05
0.3939394,0.0024630271,107.80598,2.0656297,2.2120956e-05
0.4040404,0.002530672,106.67074,2.1275754,2.2301576e-05
0.41414142,0.0026025185,105.51273,2.1959944,2.2464035e-05
0.42424244,0.0026724131,104.32938,2.2715607,2.2552911e-05
0.43434343,0.002765589,103.11793,2.355017,2.2776629e-05
0.44444445,0.002866812,101.87537,2.4471834,2.299818e-05
0.45454547,0.0029669777,100.59855,2.548963,2.3141367e-05
0.46464646,0.0030717452,99.28408,2.6613524,2.3250544e-05
0.47474748,0.0032253761,97.92836,2.7854486,2.3648669e-05
0.4848485,0.0033694515,96.527504,2.9224596,2.3888533e-05
0.4949495,0.0035326455,95.0775,3.0737176,2.4176215e-05
0.5050505,0.0037062345,93.57408,3.240687,2.4443883e-05
0.5151515,0.0038887423,92.0129,3.4249814,2.4679262e-05
0.5252525,0.004106107,90.389275,3.6283734,2.5039833e-05
0.53535354,0.0043475754,88.698524,3.8528125,2.544385e-05
0.54545456,0.004616006,86.93575,4.1004405,2.589807e-05
0.5555556,0.004867149,85.09615,4.373608,2.6155007e-05
0.56565654,0.0051720333,83.17478,4.6748943,2.660283e-05
0.57575756,0.0055587688,81.166954,5.0071306,2.7355234e-05
0.5858586,0.0059007057,79.06812,5.3734155,2.7776798e-05
0.5959596,0.006236832,76.87404,5.7771387,2.8086755e-05
0.6060606,0.00676358,74.581,6.2220054,2.9150633e-05
0.61616164,0.0071115396,72.18581,6.7120714,2.9355217e-05
0.6262626,0.007736101,69.686295,7.2517405,3.0616986e-05
0.6363636,0.008219514,67.08111,7.8458385,3.123464e-05
0.64646465,0.008807275,64.3703,8.499586,3.219499e-05
0.65656567,0.009361518,61.55542,9.218669,3.299451e-05
0.6666667,0.010091145,58.639824,10.00924,3.43856e-05
0.6767677,0.010740638,55.62891,10.877957,3.5498673e-05
0.68686867,0.011486156,52.530403,11.831998,3.6960326e-05
0.6969697,0.01220639,49.354607,12.879115,3.8406386e-05
0.7070707,0.013048262,46.114605,14.027599,4.0342315e-05
0.7171717,0.013969362,42.8263,15.286351,4.2676824e-05
0.72727275,0.014877618,39.508667,16.664858,4.5192817e-05
0.7373737,0.015753018,36.183475,18.173212,4.7912825e-05
0.74747473,0.016897079,32.87512,19.822124,5.185899e-05
0.75757575,0.017971827,29.610321,21.6229,5.6139063e-05
0.7676768,0.01928496,26.417519,23.587406,6.189798e-05
0.7777778,0.020517139,23.32602,25.728115,6.837512e-05
0.7878788,0.022189874,20.365215,28.058002,7.766746e-05
0.7979798,0.02380639,17.563354,30.590567,8.861935e-05
0.8080808,0.025869312,14.946374,33.33983,0.00010382827
0.8181818,0.028397435,12.536692,36.320236,0.0001247319
0.82828283,0.031173276,10.352034,39.54674,0.00015229161
0.83838385,0.034809798,8.404412,43.034832,0.00019248814
0.8484849,0.039085656,6.699414,46.800587,0.00024932122
0.85858583,0.044551935,5.2358465,50.86091,0.00033459972
0.86868685,0.05177109,4.00582,55.233826,0.00046797298
0.8787879,0.062723026,2.9953198,59.938915,0.0006987228
0.8888889,0.08318115,2.185201,64.99804,0.0011712868
0.8989899,0.14216265,1.5525,70.43624,0.002600086
0.90909094,0.4053461,1.0720168,76.2832,0.009913465
0.9191919,1.2684019,0.7179057,82.574844,0.0427929
0.9292929,3.21292,0.46516228,89.355896,0.15459737
0.93939394,4.9347253,0.29085773,96.68277,0.35096458
0.94949496,4.679792,0.1749942,104.62721,0.511197
0.959596,3.3334525,0.10096762,113.28111,0.58288735
0.969697,2.1084058,0.0556515,122.76181,0.6172257
0.97979796,1.2618471,0.029170081,133.21864,0.64943266
0.989899,0.6936992,0.014461778,144.84023,0.6623543
1.0,0.37570366,0.0067379465,157.86195,0.7064319
