t_points,losses,exp_gammas,d_gammas,diffusion_loss_meanpreds
0.0,0.0026692587,9.975159,5100.752,0.0026692587
0.01010101,0.014122561,2.9814959,55.037254,0.014122561
0.02020202,0.010507406,2.4477537,29.454582,0.010507406
0.030303031,0.008465123,2.1672962,20.689714,0.008465123
0.04040404,0.0077171884,1.9806842,16.17156,0.0077171884
0.05050505,0.007564717,1.8423594,13.3711815,0.007564717
0.060606062,0.0074503315,1.7337838,11.422069,0.0074503315
0.07070707,0.007640897,1.6446203,9.996257,0.007640897
0.08080808,0.0076104915,1.5693115,8.909642,0.0076104915
0.09090909,0.007984975,1.5045455,8.060671,0.007984975
0.1010101,0.008332748,1.4475906,7.3968954,0.008332748
0.11111111,0.008609718,1.3967968,6.8804517,0.008609718
0.121212125,0.009026712,1.3510292,6.5014524,0.009026712
0.13131313,0.009397971,1.3093213,6.2766123,0.009397971
0.14141414,0.009674171,1.2709173,6.168635,0.009674171
0.15151516,0.009908095,1.2348238,6.102926,0.009908095
0.16161616,0.01022537,1.2011822,6.094509,0.01022537
0.17171717,0.010897513,1.1692876,6.114257,0.010897513
0.18181819,0.011444766,1.1389838,6.170023,0.011444766
0.1919192,0.011948332,1.1098684,6.2493834,0.011948332
0.2020202,0.012184264,1.081934,6.35578,0.012184264
0.21212122,0.012816442,1.05493,6.480411,0.012816442
0.22222222,0.013261508,1.0288206,6.6149073,0.013261508
0.23232323,0.013780903,1.0034484,6.758358,0.013780903
0.24242425,0.014717581,0.97885334,6.902865,0.014717581
0.25252524,0.015409018,0.95498085,7.048416,0.015409018
0.26262626,0.015157191,0.9317145,7.1969776,0.015157191
0.27272728,0.01646312,0.909104,7.3495812,0.01646312
0.28282827,0.016993007,0.88711274,7.5043464,0.016993007
0.2929293,0.017534336,0.8656724,7.676567,0.017534336
0.3030303,0.018692609,0.84490186,7.8601522,0.018692609
0.3131313,0.018568262,0.8245959,8.050134,0.018568262
0.32323232,0.019617096,0.8048179,8.236217,0.019617096
0.33333334,0.020558633,0.78556883,8.419455,0.020558633
0.34343433,0.020818645,0.7669026,8.596968,0.020818645
0.35353535,0.02082544,0.7485993,8.768088,0.02082544
0.36363637,0.022504563,0.7308582,8.931763,0.022504563
0.37373737,0.023333617,0.7135417,9.085165,0.023333617
0.3838384,0.02387558,0.69676054,9.227083,0.02387558
0.3939394,0.023743438,0.680368,9.357456,0.023743438
0.4040404,0.024858579,0.6644125,9.473851,0.024858579
0.41414142,0.0250107,0.64892095,9.575389,0.0250107
0.42424244,0.026376985,0.6338083,9.6631155,0.026376985
0.43434343,0.026090428,0.61913955,9.734318,0.026090428
0.44444445,0.027430318,0.60489315,9.791311,0.027430318
0.45454547,0.028116902,0.5910146,9.833115,0.028116902
0.46464646,0.028679756,0.57747984,9.869361,0.028679756
0.47474748,0.029318813,0.5643175,9.891077,0.029318813
0.4848485,0.030478332,0.551475,9.907517,0.030478332
0.4949495,0.031019317,0.53887624,9.916394,0.031019317
0.5050505,0.032297913,0.52655107,9.923209,0.032297913
0.5151515,0.033633683,0.5145021,9.938989,0.033633683
0.5252525,0.03307394,0.5026241,9.977931,0.03307394
0.53535354,0.03504103,0.49087515,10.0559435,0.03504103
0.54545456,0.035529006,0.47928816,10.162636,0.035529006
0.5555556,0.038479887,0.4676119,10.293917,0.038479887
0.56565654,0.03751368,0.4560092,10.463745,0.03751368
0.57575756,0.03894615,0.44420424,10.678545,0.03894615
0.5858586,0.03977785,0.43232462,10.933037,0.03977785
0.5959596,0.04077382,0.42011458,11.253982,0.04077382
0.6060606,0.042179473,0.40757787,11.639013,0.042179473
0.61616164,0.04240695,0.39476225,12.076439,0.04240695
0.6262626,0.04440356,0.3814328,12.58613,0.04440356
0.6363636,0.04559682,0.36775443,13.155356,0.04559682
0.64646465,0.0468057,0.35356322,13.780723,0.0468057
0.65656567,0.04729772,0.33903578,14.433805,0.04729772
0.6666667,0.04916476,0.32409033,15.110096,0.04916476
0.6767677,0.04912276,0.30920136,15.747851,0.04912276
0.68686867,0.050229743,0.2941418,16.37774,0.050229743
0.6969697,0.05079582,0.27922034,16.921041,0.05079582
0.7070707,0.05112234,0.26460996,17.370201,0.05112234
0.7171717,0.05161678,0.25040394,17.725794,0.05161678
0.72727275,0.051661752,0.23679084,17.922909,0.051661752
0.7373737,0.052841004,0.22378424,17.939907,0.052841004
0.74747473,0.052944172,0.21165974,17.764032,0.052944172
0.75757575,0.05256338,0.20010334,17.427835,0.05256338
0.7676768,0.054287903,0.18960606,16.89508,0.054287903
0.7777778,0.0535196,0.17970775,16.153778,0.0535196
0.7878788,0.054416712,0.1706826,15.330398,0.054416712
0.7979798,0.05533532,0.16231504,14.354489,0.05533532
0.8080808,0.05738506,0.15463468,13.199625,0.05738506
0.8181818,0.05700277,0.14756651,11.861189,0.05700277
0.82828283,0.05981148,0.14101522,10.368574,0.05981148
0.83838385,0.05948537,0.13504942,8.7648535,0.05948537
0.8484849,0.060546372,0.12954925,7.1485624,0.060546372
0.85858583,0.06317147,0.12445576,5.581866,0.06317147
0.86868685,0.06533088,0.11981697,4.0580072,0.06533088
0.8787879,0.066025876,0.115574546,2.6826458,0.066025876
0.8888889,0.07276603,0.111774966,1.4903451,0.07276603
0.8989899,0.06929125,0.10844672,1.347614,0.06929125
0.90909094,0.07428629,0.105617695,1.4882617,0.07428629
0.9191919,0.07833883,0.10339621,1.68479,0.07833883
0.9292929,0.079507366,0.10183675,1.9733752,0.079507366
0.93939394,0.081184804,0.10104084,2.417591,0.081184804
0.94949496,0.08309195,0.1008678,3.151485,0.08309195
0.959596,0.08387886,0.1007479,4.462557,0.08387886
0.969697,0.08465062,0.09876474,7.098086,0.08465062
0.97979796,0.08527579,0.09068676,19.679567,0.08527579
0.989899,0.0859554,0.069444485,79.51474,0.0859554
1.0,0.08629446,0.0010066178,15.127473,0.08629446
